iter	Passed	Remaining
0	0	432
1	0	405
2	1	363
3	1	343
4	1	334
5	2	354
6	2	345
7	2	347
8	3	341
9	3	346
10	3	342
11	4	337
12	4	332
13	4	329
14	4	325
15	5	334
16	5	329
17	6	327
18	6	324
19	6	323
20	7	327
21	7	325
22	7	326
23	8	329
24	8	327
25	8	330
26	9	327
27	9	325
28	9	322
29	9	321
30	10	319
31	10	318
32	10	317
33	11	318
34	11	318
35	11	317
36	12	317
37	12	315
38	12	314
39	13	312
40	13	311
41	13	310
42	13	309
43	14	308
44	14	307
45	14	306
46	15	306
47	15	305
48	15	305
49	16	304
50	16	303
51	16	302
52	16	301
53	17	300
54	17	299
55	17	298
56	18	298
57	18	297
58	18	296
59	18	295
60	19	294
61	19	294
62	19	295
63	20	294
64	20	293
65	20	293
66	21	293
67	21	292
68	21	291
69	21	291
70	22	290
71	22	290
72	22	290
73	23	289
74	23	288
75	23	287
76	23	286
77	24	286
78	24	285
79	24	284
80	25	284
81	25	283
82	25	280
83	25	280
84	26	279
85	26	279
86	26	279
87	26	278
88	27	277
89	27	277
90	27	276
91	27	276
92	28	275
93	28	274
94	28	274
95	29	273
96	29	272
97	29	272
98	29	271
99	30	270
100	30	270
101	30	269
102	30	269
103	31	269
104	31	268
105	31	267
106	32	267
107	32	266
108	32	266
109	32	266
110	33	265
111	33	265
112	33	265
113	34	265
114	34	264
115	34	264
116	34	263
117	35	263
118	35	263
119	35	262
120	36	261
121	36	260
122	36	260
123	36	260
124	37	260
125	37	259
126	37	259
127	37	258
128	38	258
129	38	258
130	38	257
131	39	257
132	39	256
133	39	256
134	39	255
135	40	255
136	40	254
137	40	254
138	41	255
139	41	254
140	41	254
141	41	252
142	42	252
143	42	252
144	42	252
145	43	251
146	43	252
147	43	251
148	44	251
149	44	251
150	44	251
151	44	251
152	45	250
153	45	250
154	45	250
155	46	249
156	46	249
157	46	248
158	46	248
159	47	248
160	47	246
161	47	246
162	47	246
163	48	246
164	48	245
165	48	245
166	49	244
167	49	244
168	49	244
169	50	244
170	50	244
171	50	243
172	51	244
173	51	243
174	51	243
175	52	243
176	52	243
177	52	242
178	52	242
179	53	242
180	53	241
181	53	241
182	53	240
183	54	240
184	54	240
185	54	239
186	55	239
187	55	239
188	55	238
189	55	238
190	56	237
191	56	237
192	56	237
193	57	236
194	57	236
195	57	236
196	57	235
197	58	235
198	58	235
199	58	235
200	59	235
201	59	235
202	59	234
203	60	234
204	60	234
205	60	233
206	60	233
207	61	233
208	61	232
209	61	232
210	62	231
211	62	231
212	62	231
213	62	230
214	63	230
215	63	230
216	63	229
217	63	229
218	64	229
219	64	228
220	64	228
221	65	228
222	65	227
223	65	227
224	65	227
225	66	226
226	66	226
227	66	226
228	67	225
229	67	225
230	67	225
231	67	224
232	68	224
233	68	224
234	68	223
235	69	223
236	69	223
237	69	222
238	69	222
239	70	222
240	70	221
241	70	221
242	71	221
243	71	221
244	71	221
245	72	220
246	72	220
247	72	220
248	72	219
249	73	219
250	73	219
251	73	219
252	74	218
253	74	218
254	74	218
255	74	217
256	75	217
257	75	217
258	75	217
259	76	216
260	76	216
261	76	216
262	77	215
263	77	215
264	77	215
265	77	214
266	78	214
267	78	214
268	78	213
269	78	213
270	79	213
271	79	213
272	79	212
273	80	212
274	80	211
275	80	211
276	80	211
277	81	210
278	81	210
279	81	210
280	82	210
281	82	209
282	82	209
283	83	209
284	83	209
285	83	208
286	83	208
287	84	208
288	84	207
289	84	207
290	85	207
291	85	206
292	85	206
293	85	206
294	86	205
295	86	205
296	86	205
297	86	204
298	87	204
299	87	204
300	87	203
301	88	203
302	88	203
303	88	203
304	89	202
305	89	202
306	89	202
307	90	202
308	90	201
309	90	201
310	90	201
311	91	201
312	91	200
313	91	200
314	92	200
315	92	200
316	92	199
317	93	199
318	93	199
319	94	200
320	94	200
321	94	199
322	95	199
323	95	199
324	95	198
325	95	198
326	96	198
327	96	197
328	96	197
329	97	197
330	97	197
331	97	196
332	98	196
333	98	196
334	98	195
335	98	195
336	99	195
337	99	195
338	99	194
339	100	194
340	100	194
341	100	193
342	100	193
343	101	193
344	101	192
345	101	192
346	102	192
347	102	192
348	102	191
349	103	191
350	103	191
351	103	190
352	103	190
353	104	189
354	104	189
355	104	189
356	104	189
357	105	188
358	105	188
359	105	188
360	106	187
361	106	187
362	106	187
363	106	186
364	107	186
365	107	186
366	107	186
367	108	185
368	108	185
369	108	185
370	108	184
371	109	184
372	109	184
373	109	183
374	110	183
375	110	183
376	110	182
377	110	182
378	111	182
379	111	182
380	111	181
381	112	181
382	112	181
383	112	180
384	112	180
385	113	180
386	113	179
387	113	179
388	114	179
389	114	179
390	114	178
391	115	178
392	115	178
393	115	177
394	115	177
395	116	177
396	116	176
397	116	176
398	117	176
399	117	176
400	118	176
401	118	176
402	118	175
403	118	175
404	119	175
405	119	175
406	119	174
407	120	174
408	120	174
409	120	173
410	121	173
411	121	173
412	121	172
413	121	172
414	122	172
415	122	171
416	122	171
417	123	171
418	123	171
419	123	170
420	123	170
421	124	170
422	124	169
423	125	169
424	125	169
425	125	169
426	125	168
427	126	168
428	126	168
429	126	168
430	127	167
431	127	167
432	127	167
433	127	166
434	128	166
435	128	166
436	128	166
437	129	165
438	129	165
439	129	165
440	130	165
441	130	164
442	130	164
443	131	164
444	131	163
445	131	163
446	132	163
447	132	163
448	132	162
449	132	162
450	133	162
451	133	161
452	133	161
453	133	161
454	134	160
455	134	160
456	134	160
457	135	160
458	135	159
459	135	159
460	136	159
461	136	158
462	136	158
463	137	158
464	137	158
465	137	157
466	137	157
467	138	157
468	138	156
469	138	156
470	138	156
471	139	155
472	139	155
473	139	155
474	140	154
475	140	154
476	140	154
477	140	153
478	141	153
479	141	153
480	141	153
481	142	152
482	142	152
483	142	152
484	143	151
485	143	151
486	143	151
487	144	151
488	144	150
489	144	150
490	145	150
491	145	150
492	145	150
493	146	149
494	146	149
495	146	149
496	147	148
497	147	148
498	147	148
499	147	147
500	148	147
501	148	147
502	148	146
503	148	146
504	149	146
505	149	146
506	149	145
507	150	145
508	150	145
509	150	144
510	151	144
511	151	144
512	151	143
513	152	143
514	152	143
515	152	143
516	152	142
517	153	142
518	153	142
519	153	141
520	154	141
521	154	141
522	154	140
523	154	140
524	155	140
525	155	140
526	155	139
527	155	139
528	156	139
529	156	138
530	156	138
531	157	138
532	157	137
533	157	137
534	157	137
535	158	137
536	158	136
537	159	136
538	159	136
539	159	136
540	160	135
541	160	135
542	160	135
543	160	134
544	161	134
545	161	134
546	161	133
547	161	133
548	162	133
549	162	133
550	162	132
551	163	132
552	163	132
553	163	131
554	163	131
555	164	131
556	164	130
557	164	130
558	164	130
559	165	129
560	165	129
561	165	129
562	166	128
563	167	129
564	167	128
565	167	128
566	168	128
567	168	128
568	168	127
569	168	127
570	169	127
571	169	126
572	169	126
573	170	126
574	170	126
575	170	125
576	171	125
577	171	125
578	171	124
579	171	124
580	172	124
581	172	123
582	172	123
583	173	123
584	173	122
585	173	122
586	173	122
587	174	122
588	174	121
589	174	121
590	174	121
591	175	120
592	175	120
593	175	120
594	176	119
595	176	119
596	176	119
597	177	118
598	177	118
599	177	118
600	177	118
601	178	117
602	178	117
603	178	117
604	178	116
605	179	116
606	179	116
607	179	115
608	180	115
609	180	115
610	180	115
611	180	114
612	181	114
613	181	114
614	181	113
615	182	113
616	182	113
617	182	112
618	182	112
619	183	112
620	183	111
621	183	111
622	184	111
623	184	111
624	184	110
625	184	110
626	185	110
627	185	109
628	185	109
629	186	109
630	186	108
631	186	108
632	186	108
633	187	108
634	187	107
635	187	107
636	188	107
637	188	106
638	188	106
639	188	106
640	189	105
641	189	105
642	189	105
643	190	105
644	190	104
645	190	104
646	191	104
647	191	103
648	191	103
649	191	103
650	192	103
651	192	102
652	192	102
653	193	102
654	193	101
655	193	101
656	193	101
657	194	100
658	194	100
659	194	100
660	194	99
661	195	99
662	195	99
663	195	99
664	196	98
665	196	98
666	196	98
667	196	97
668	197	97
669	197	97
670	197	97
671	198	96
672	198	96
673	198	96
674	198	95
675	199	95
676	199	95
677	199	94
678	200	94
679	200	94
680	200	94
681	200	93
682	201	93
683	201	93
684	201	92
685	202	92
686	202	92
687	202	91
688	202	91
689	203	91
690	203	90
691	203	90
692	203	90
693	204	90
694	204	89
695	204	89
696	205	89
697	205	88
698	205	88
699	206	88
700	206	88
701	206	87
702	206	87
703	207	87
704	207	86
705	207	86
706	208	86
707	208	85
708	208	85
709	208	85
710	209	85
711	209	84
712	209	84
713	209	84
714	210	83
715	210	83
716	210	83
717	211	82
718	211	82
719	211	82
720	212	82
721	212	81
722	212	81
723	212	81
724	213	80
725	213	80
726	213	80
727	214	80
728	214	79
729	214	79
730	214	79
731	215	78
732	215	78
733	215	78
734	216	77
735	216	77
736	216	77
737	216	77
738	217	76
739	217	76
740	217	76
741	217	75
742	218	75
743	218	75
744	218	74
745	219	74
746	219	74
747	219	73
748	219	73
749	220	73
750	220	73
751	220	72
752	221	72
753	221	72
754	221	71
755	221	71
756	222	71
757	222	71
758	222	70
759	222	70
760	223	70
761	223	69
762	223	69
763	224	69
764	224	68
765	224	68
766	224	68
767	225	68
768	225	67
769	225	67
770	225	67
771	226	66
772	226	66
773	226	66
774	227	65
775	227	65
776	227	65
